name	asv_id	betweenness	color	asv_name	ASV_color	genus_name	genus_color	family_name	family_color	order_name	order_color	class_name	class_color	phylum_name	phylum_color
7674	9a678387e181f68ed3a09a929d47c386	3.54924578527063e-05	#E68A8A	d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Enterobacterales_737866; f__Enterobacteriaceae_A_725029	#BB0060	Scrofimicrobium	#A38B7F	Actinomycetaceae	#6E5563	Actinomycetales	#0DA200	Actinomycetes	#1C4549	Actinomycetota	#0D650D
7977	a0d7da25d08a0eec714a2068c05f244c	0.0600922533515571	#8AE68A	d__Bacteria; p__Actinomycetota; c__Actinomycetes; o__Mycobacteriales; f__Mycobacteriaceae; g__Corynebacterium	#45FF0D	Flavobacterium	#FC0D5C	Flavobacteriaceae	#A01680	Flavobacteriales_B_877923	#912E35	Bacteroidia	#FF00E9	Bacteroidota	#2E1682
8494	ab9cd359da5bb779c609d5f91f33d971	0.0398558279180441	#8AE68A	d__Bacteria; p__Bacillota_I; c__Bacilli_A; o__Staphylococcales; f__Staphylococcaceae; g__Staphylococcus	#FEADF0	Lapidilactobacillus	#846986	Lactobacillaceae	#FF00F0	Lactobacillales	#B7850D	Bacilli_A	#BB8722	Bacillota_I	#B6860D
8513	abfbe94f6c3a88bcb2c86b1a15d0011a	0.0287717535232541	#8A8AE6	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae; g__Enterocloster	#AE0DFC	Lapidilactobacillus	#846986	Lactobacillaceae	#FF00F0	Lactobacillales	#B7850D	Bacilli_A	#BB8722	Bacillota_I	#B6860D
9286	bb21cf70594b50fff63669b576ca18c1	0.0899204836837803	#8AE68A	d__Bacteria; p__Bacillota_I; c__Bacilli_A; o__Lactobacillales; f__Enterococcaceae; g__Enterococcus_C; s__Enterococcus_C diestrammenae	#47B6F7	Unknown	#555555	Enterococcaceae	#1C5316	Lactobacillales	#B7850D	Bacilli_A	#BB8722	Bacillota_I	#B6860D
9455	be6882b70b9577f6ec45b9e81884bcf8	0.0113964180468695	#8AE68A	d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Pseudomonadales_A_650611; f__Pseudomonadaceae; g__Halopseudomonas_650606; s__Halopseudomonas formosensis	#E5E400	Oceanobacillus_287537	#00699A	Amphibacillaceae	#FF3B73	Bacillales_D	#FB4070	Bacilli_A	#BB8722	Bacillota_I	#B6860D
9587	c13b6b33ed8422c25d2d2f115c7fdbad	0.0434772461098992	#8A8AE6	d__Bacteria; p__Actinomycetota; c__Actinomycetes; o__Actinomycetales; f__Bifidobacteriaceae; g__Neoscardovia; s__Neoscardovia arbecensis	#FD00DD	Neoscardovia	#FD009A	Bifidobacteriaceae	#849540	Actinomycetales	#0DA200	Actinomycetes	#1C4549	Actinomycetota	#0D650D
9664	c2cf94c70e49c65b29f5eacf29029831	3.54924578527063e-05	#E68A8A	d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhizobiales_505101; f__Rhizobiaceae	#94967D	Unknown	#555555	Rhizobiaceae	#869816	Rhizobiales_505101	#8E885A	Alphaproteobacteria	#980DFE	Pseudomonadota	#A916FF
10425	d23fbef2f31d48eda40876cdbc49933a	3.54924578527063e-05	#E68A8A	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae; g__Lacrimispora	#FC008C	Staphylococcus	#B6778E	Staphylococcaceae	#9D3B91	Staphylococcales	#1C90F6	Bacilli_A	#BB8722	Bacillota_I	#B6860D
11011	ddc522730e2b25acd5021eaa7f43a389	0.0422025937248026	#8A8AE6	d__Bacteria; p__Bacillota_I; c__Bacilli_A; o__Lactobacillales; f__Lactobacillaceae; g__Lactiplantibacillus	#EAAA78	Dysgonomonas	#80957D	Dysgonomonadaceae	#226EAF	Bacteroidales	#F05C00	Bacteroidia	#FF00E9	Bacteroidota	#2E1682
11276	e2c82b8f287cf06e42982508eb460933	0.108295349441808	#8A8AE6	d__Bacteria; p__Bacillota_I; c__Bacilli_A; o__Paenibacillales; f__Paenibacillaceae_367444; g__Paenibacillus_T_364413; s__Paenibacillus_T_364413 montaniterrae	#00B798	Companilactobacillus	#CA16BE	Lactobacillaceae	#FF00F0	Lactobacillales	#B7850D	Bacilli_A	#BB8722	Bacillota_I	#B6860D
12223	f4cbea5b7ea9a9cb9e6b0c09f005aa46	0	#8A8AE6	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Sphingobacteriales; f__Sphingobacteriaceae; g__Sphingobacterium	#F0E0AD	Enterococcus_C	#267C26	Enterococcaceae	#1C5316	Lactobacillales	#B7850D	Bacilli_A	#BB8722	Bacillota_I	#B6860D
12727	fda0746dace4494eb6cfd64b8b7d6036	0.0232702418296656	#8A8AE6	d__Bacteria; p__Bacillota_I; c__Bacilli_A; o__Bacillales_B_310392; f__Bacillaceae_G; g__Bacillus_A	#66452E	Unknown	#555555	Enterobacteriaceae_A_732334	#0068FE	Enterobacterales_737866	#C000EA	Gammaproteobacteria	#CB72AF	Pseudomonadota	#A916FF
