name	asv_id	betweenness	color	asv_name	ASV_color	genus_name	genus_color	family_name	family_color	order_name	order_color	class_name	class_color	phylum_name	phylum_color
8153	a475ca84834c16f765bb6d40b064bd7f	0.342740841248304	#E68A8A	d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Enterobacterales_737866; f__Enterobacteriaceae_A_732334; g__Morganella	#BC6C91	Turicibacter	#B85694	Turicibacteraceae	#F416D4	MOL361	#4B66D6	Bacilli_A	#BB8722	Bacillota_I	#B6860D
8480	ab3e41a56d154051c8cf6d7616cd9fa6	0.0893138666220785	#8AAEE6	d__Bacteria; p__Bacillota_I; c__Bacilli_A; o__Bacillales_B_306087; f__Bacillaceae_C_302577; g__Lederbergia_A_302195; s__Lederbergia_A_302195 galactosidilytica	#F4DFA0	Unknown	#555555	Unknown	#555555	Bacillales_B_306087	#6A9856	Bacilli_A	#BB8722	Bacillota_I	#B6860D
8777	b10eeffe4b14bfbb96644eef58f89091	0.0298507462686567	#8AE6AE	d__Bacteria; p__Bacillota_I; c__Bacilli_A; o__Lactobacillales; f__Enterococcaceae	#F75ABB	Unknown	#555555	Unknown	#555555	Burkholderiales	#1C9ABE	Gammaproteobacteria	#CB72AF	Pseudomonadota	#A916FF
9052	b6b886ab58b5bc81f70cc0ea426a66e5	0.371180966103208	#8AAEE6	d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Enterobacterales_737866; f__Enterobacteriaceae_A_725029	#A67E7F	Miniimonas	#422A60	Beutenbergiaceae	#224532	Actinomycetales	#0DA200	Actinomycetes	#1C4549	Actinomycetota	#0D650D
9286	bb21cf70594b50fff63669b576ca18c1	0.0107315279905502	#8AAEE6	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Sphingobacteriales; f__Sphingobacteriaceae	#AB1663	Unknown	#555555	Enterococcaceae	#1C5316	Lactobacillales	#B7850D	Bacilli_A	#BB8722	Bacillota_I	#B6860D
9437	bdfdc0ace831e736f6084d490c965fdd	0.0396627441620282	#8AE6AE	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae; g__Lacrimispora	#C7F16D	Lacrimispora	#AA71C2	Lachnospiraceae	#9F81CB	Lachnospirales	#907CAF	Clostridia_258483	#A42A2A	Bacillota_A_368345	#980D16
9517	bfe54af4c9180d37a0d76f6dafe79a5a	0.146828973595893	#D3E68A	d__Bacteria; p__Bacillota_I; c__Bacilli_A; o__Staphylococcales; f__Staphylococcaceae; g__Staphylococcus	#35D4B7	Unknown	#555555	Enterobacteriaceae_A_725029	#628B91	Enterobacterales_737866	#C000EA	Gammaproteobacteria	#CB72AF	Pseudomonadota	#A916FF
9664	c2cf94c70e49c65b29f5eacf29029831	0.0425666958516629	#8AE6AE	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae; g__Enterocloster	#9B227D	Unknown	#555555	Rhizobiaceae	#869816	Rhizobiales_505101	#8E885A	Alphaproteobacteria	#980DFE	Pseudomonadota	#A916FF
9991	c981a3e4e985f3619b3b6c206031d85e	0.00141212751496846	#8AAEE6	d__Bacteria; p__Bacillota_I; c__Bacilli_A; o__Lactobacillales; f__Enterococcaceae; g__Enterococcus_C; s__Enterococcus_C diestrammenae	#835AD8	Lachnotalea	#00A362	Lachnospiraceae	#9F81CB	Lachnospirales	#907CAF	Clostridia_258483	#A42A2A	Bacillota_A_368345	#980D16
10088	cb95fe1c3a182358182b7ec890d690b4	0.040707472084677	#D3E68A	d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Pseudomonadales_A_650611; f__Pseudomonadaceae; g__Halopseudomonas_650606; s__Halopseudomonas formosensis	#2E5D47	Unknown	#555555	Sphingobacteriaceae	#FC00A4	Sphingobacteriales	#FD0032	Bacteroidia	#FF00E9	Bacteroidota	#2E1682
10344	d0c9525c461938f545ac82066265a341	0.016548544174053	#D3E68A	d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Burkholderiales; f__; g__; s__	#FEA60D	Dysgonomonas	#80957D	Dysgonomonadaceae	#226EAF	Bacteroidales	#F05C00	Bacteroidia	#FF00E9	Bacteroidota	#2E1682
10425	d23fbef2f31d48eda40876cdbc49933a	0.000669336147188819	#8AAEE6	NA	NA	Staphylococcus	#B6778E	Staphylococcaceae	#9D3B91	Staphylococcales	#1C90F6	Bacilli_A	#BB8722	Bacillota_I	#B6860D
10795	d9bca85ad6690f7a943e50deb03b3da1	0	#E68A8A	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Sphingobacteriales; f__Sphingobacteriaceae; g__Sphingobacterium	#9FE7EC	Unknown	#555555	Burkholderiaceae_A_595373	#53002A	Burkholderiales	#1C9ABE	Gammaproteobacteria	#CB72AF	Pseudomonadota	#A916FF
10923	dc3070ccce481dee952c0ad06d4b9d30	0	#E68A8A	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae; g__Lacrimispora	#C7F16D	Flavobacterium	#FC0D5C	Flavobacteriaceae	#A01680	Flavobacteriales_B_877923	#912E35	Bacteroidia	#FF00E9	Bacteroidota	#2E1682
10999	dd9aefe006289cd5042a287c12c38fa3	0	#8AAEE6	d__Bacteria; p__Bacillota_I; c__Bacilli_A; o__Bacillales_B_306087; f__Bacillaceae_C_302575; g__Heyndrickxia; s__Heyndrickxia oleronia	#168886	Oceanobacillus_287537	#00699A	Amphibacillaceae	#FF3B73	Bacillales_D	#FB4070	Bacilli_A	#BB8722	Bacillota_I	#B6860D
11011	ddc522730e2b25acd5021eaa7f43a389	0	#D3E68A	d__Bacteria; p__Bacillota_I; c__Bacilli_A; o__Paenibacillales; f__Paenibacillaceae_367444; g__Paenibacillus_T_364413; s__Paenibacillus_T_364413 montaniterrae	#FD9DE0	Dysgonomonas	#80957D	Dysgonomonadaceae	#226EAF	Bacteroidales	#F05C00	Bacteroidia	#FF00E9	Bacteroidota	#2E1682
11390	e5413f67faa6b8c0c3e63e48836c0b42	0	#D38AE6	d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Enterobacterales_737866; f__Enterobacteriaceae_A_729055	#B46053	Phascolarctobacterium_A_40086	#8E1C8D	Acidaminococcaceae	#B670EF	Acidaminococcales	#802240	Negativicutes	#9D4F1C	Bacillota_C	#4900CE
11964	efb8602f3d0765aaf09b975799823da9	0	#8AE6AE	d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Burkholderiales; f__Burkholderiaceae_A_593909; g__Bordetella_A_593886	#EF00FF	Unknown	#555555	Enterobacteriaceae_A_729055	#1C69DC	Enterobacterales_737866	#C000EA	Gammaproteobacteria	#CB72AF	Pseudomonadota	#A916FF
12223	f4cbea5b7ea9a9cb9e6b0c09f005aa46	0.352781546811398	#E68A8A	d__Bacteria; p__Bacillota_I; c__Bacilli_A; o__MOL361; f__Turicibacteraceae; g__Turicibacter	#919700	Enterococcus_C	#267C26	Enterococcaceae	#1C5316	Lactobacillales	#B7850D	Bacilli_A	#BB8722	Bacillota_I	#B6860D
12727	fda0746dace4494eb6cfd64b8b7d6036	0	#8AE6AE	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Sphingobacteriales; f__Sphingobacteriaceae; g__Sphingobacterium	#9FE7EC	Unknown	#555555	Enterobacteriaceae_A_732334	#0068FE	Enterobacterales_737866	#C000EA	Gammaproteobacteria	#CB72AF	Pseudomonadota	#A916FF
