name	asv_id	betweenness	color	asv_name	ASV_color	genus_name	genus_color	family_name	family_color	order_name	order_color	class_name	class_color	phylum_name	phylum_color
5942	78056058faedd75d706633c5f55a975f	0.00218729503259721	#E68A8A	d__Bacteria; p__Actinomycetota; c__Actinomycetes; o__Actinomycetales; f__Actinomycetaceae; g__Scrofimicrobium; s__Scrofimicrobium canadense	#3D3D8C	Morganella	#CF00B4	Enterobacteriaceae_A_732334	#0068FE	Enterobacterales_737866	#C000EA	Gammaproteobacteria	#CB72AF	Pseudomonadota	#A916FF
6353	7fe6237b9839dd4cdc6e2e7a76d1b3a9	0.0714786674459381	#8AE6E6	d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae; g__Paenirhodobacter_493297; s__Paenirhodobacter populi	#1673A0	Globicatella	#0D66D8	Aerococcaceae	#831600	Lactobacillales	#B7850D	Bacilli_A	#BB8722	Bacillota_I	#B6860D
7067	8db9ec3c6c2da03db22d64f72b6f0c7d	0.0793553384728136	#8AE68A	d__Bacteria; p__Bacillota_I; c__Bacilli_A; o__Bacillales_H_361473; f__Bacillaceae_D_361233; g__Shouchella	#F89F5C	Lactiplantibacillus	#2294E3	Lactobacillaceae	#FF00F0	Lactobacillales	#B7850D	Bacilli_A	#BB8722	Bacillota_I	#B6860D
7132	8f1e011bf4bf805a8932aabec50e5f3d	0.00267503455697494	#8AE6E6	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Tissierellales; f__Peptoniphilaceae; g__Anaerococcus; s__Anaerococcus nagyae	#FD7200	Sphingobacterium	#760DFF	Sphingobacteriaceae	#FC00A4	Sphingobacteriales	#FD0032	Bacteroidia	#FF00E9	Bacteroidota	#2E1682
7949	a04d436011ee2577a5701a9ae45d1105	0.000899159286067527	#E68A8A	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae	#FD1698	Lederbergia_A_302195	#F4560D	Bacillaceae_C_302577	#0D9E7D	Bacillales_B_306087	#6A9856	Bacilli_A	#BB8722	Bacillota_I	#B6860D
7977	a0d7da25d08a0eec714a2068c05f244c	0.0623882467298994	#E6E68A	d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Enterobacterales_737866; f__Enterobacteriaceae_A_732334; g__Morganella	#35FC7E	Flavobacterium	#FC0D5C	Flavobacteriaceae	#A01680	Flavobacteriales_B_877923	#912E35	Bacteroidia	#FF00E9	Bacteroidota	#2E1682
8153	a475ca84834c16f765bb6d40b064bd7f	0.00218729503259721	#E68A8A	d__Bacteria; p__Bacillota_I; c__Bacilli_A; o__Bacillales_B_306087; f__Bacillaceae_C_302577; g__Lederbergia_A_302195; s__Lederbergia_A_302195 galactosidilytica	#8AC0FC	Turicibacter	#B85694	Turicibacteraceae	#F416D4	MOL361	#4B66D6	Bacilli_A	#BB8722	Bacillota_I	#B6860D
8513	abfbe94f6c3a88bcb2c86b1a15d0011a	0	#E68AE6	d__Bacteria; p__Bacillota_I; c__Bacilli_A; o__Lactobacillales; f__Enterococcaceae	#22AF16	Lapidilactobacillus	#846986	Lactobacillaceae	#FF00F0	Lactobacillales	#B7850D	Bacilli_A	#BB8722	Bacillota_I	#B6860D
8839	b27989b687fe949120707d580a898f40	0.077838292624967	#E68A8A	d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Enterobacterales_737866; f__Enterobacteriaceae_A_725029	#683575	Paenirhodobacter_493297	#FB0DD0	Rhodobacteraceae	#7142AF	Rhodobacterales	#0D5DFD	Alphaproteobacteria	#980DFE	Pseudomonadota	#A916FF
9052	b6b886ab58b5bc81f70cc0ea426a66e5	0.0234556047238689	#8AE6E6	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae; g__Lacrimispora	#C7F16D	Miniimonas	#422A60	Beutenbergiaceae	#224532	Actinomycetales	#0DA200	Actinomycetes	#1C4549	Actinomycetota	#0D650D
