Feature ID	Taxon	Confidence
08b095fecf421a7e37168e7363a4a966	d__Bacteria; p__Bacillota_I; c__Bacilli_A; o__Brevibacillales; f__Brevibacillaceae; g__Brevibacillus_D_362672; s__Brevibacillus_D_362672 thermoruber	0.9998806427049973
08cc54292bbc3f6b5a7e0168e4e1247c	d__Bacteria; p__Actinomycetota; c__Actinomycetes; o__Actinomycetales; f__Microbacteriaceae; g__Marisediminicola	0.7609734780215136
08e37ec10dbb62dd0f911adba448ab67	d__Bacteria; p__Actinomycetota; c__Actinomycetes; o__Propionibacteriales; f__Nocardioidaceae; g__Nocardioides_A_392796	0.7868981112839443
08e3e654f718278e1ad599719280f972	d__Bacteria; p__Bacillota_I; c__Bacilli_A; o__Paenibacillales; f__Paenibacillaceae_367444; g__Paenibacillus_T_364413; s__Paenibacillus_T_364413 montaniterrae	0.9509439938100395
09089638a5c68ef701fbc501fb615f62	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Lachnospirales; f__Anaerotignaceae	0.9999991383020138
094226930fb6d71f02c7b6124105e94b	d__Bacteria; p__Bacillota_I; c__Bacilli_A; o__Bacillales_B_306089; f__Bacillaceae_H_294103; g__Bacillus_P_294101	0.9997063840759467
095497fdb9eb5fcc0cde5814f149bd36	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Flavobacteriales_B_877923; f__Flavobacteriaceae; g__Flavobacterium; s__Myroides ceti	0.9999997581572595
096f6e262eac07af816ec39f1dc91151	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Lachnospirales; f__Cellulosilyticaceae; g__Cellulosilyticum; s__Cellulosilyticum ruminicola	0.9997777260926286
09eef43148b79954ace7efc3f6ea5689	d__Bacteria; p__Actinomycetota; c__Thermoleophilia; o__Solirubrobacterales; f__70-9; g__67-14; s__67-14 sp001897355	0.9057939022534947
09f2d94efe48bc6e531bf02b849223d4	d__Bacteria; p__Bacillota_I; c__Bacilli_A; o__MOL361; f__Turicibacteraceae; g__Turicibacter; s__Turicibacter bilis	0.9981974691422479
09f558ae9bced6d66b0039693b77f8af	d__Bacteria; p__Actinomycetota; c__Actinomycetes; o__Mycobacteriales; f__Mycobacteriaceae; g__Corynebacterium	0.9999999704517525
0a0b50624fad3dbddce63f1246d71e3c	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Tissierellales; f__Tissierellaceae	0.9999999966004218
0a0f6881e8e084e551d36a46422d0893	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae; g__Anaerocolumna; s__	0.9219794338477062
0a3e2b9bb3595239eed09836a00c3346	d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria	0.9999910060388879
